id;evento_id_catedra;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;columna_asientos;precio_entrada;evento_tipo;organizador_nombre;organizador_apellido;estado;ultima_actualizacion
1;15875;amazing grim rear;cautiously pile;../fake-data/blob/hipster.txt;2025-12-13T23:43:38;awkwardly;so frail;30410;23205;31935.59;shrill while duh;draft attraction until;including;ACTIVO;2025-12-14T06:32:30
2;30382;supposing supposing without;yuck failing;../fake-data/blob/hipster.txt;2025-12-14T17:22:37;archaeology modulo oh;needily barring cripple;30344;15120;28329.95;schnitzel;utterly however idle;accidentally traduce;EXPIRADO;2025-12-14T08:08:55
3;30462;brandish lovingly potable;e-mail task;../fake-data/blob/hipster.txt;2025-12-14T18:43:01;decriminalize;shakily deeply ew;32514;7697;20832.55;diligently;sign against;strange circulate;ACTIVO;2025-12-14T06:31:04
4;9014;misfire;bungalow infinite briefly;../fake-data/blob/hipster.txt;2025-12-14T12:41:58;whose telescope;woot airmail fiercely;30646;28275;4200.4;upward;populist;before ugh folklore;EXPIRADO;2025-12-14T06:19:01
5;21920;fully rural;unlike whether;../fake-data/blob/hipster.txt;2025-12-14T08:32:27;cute furlough;mmm;22776;19654;30755.56;per hastily psst;gee exhaust;inside beyond badly;EXPIRADO;2025-12-14T19:48:13
6;18126;foolhardy butter er;honestly thongs;../fake-data/blob/hipster.txt;2025-12-14T03:56:57;unbearably lovingly consequently;yahoo;24625;24863;23231.87;nicely;intellect;nephew gah supposing;EXPIRADO;2025-12-14T16:38:09
7;18799;arrogantly intermesh sway;while;../fake-data/blob/hipster.txt;2025-12-14T14:29:42;however widow brr;vice boring;15268;21653;18569.08;gee defrag;whoa;maestro;EXPIRADO;2025-12-14T19:54:42
8;26415;brr yowza;meanwhile;../fake-data/blob/hipster.txt;2025-12-14T09:44:28;completion;decryption pomelo;13258;5384;10717.18;mid artistic;step-mother front;outlaw horn;ACTIVO;2025-12-14T13:32:34
9;11406;apropos how geez;impish encouragement;../fake-data/blob/hipster.txt;2025-12-14T03:08:10;boo wicked;progress while after;25854;7241;6383.19;hypothesize instead materialise;except joyful meander;godparent outside;CANCELADO;2025-12-14T09:44:54
10;20520;against useless;language;../fake-data/blob/hipster.txt;2025-12-14T13:08:14;pace wedding;fooey;11640;14109;730.38;whenever;boldly paltry miskey;passport telescope quarrelsome;ACTIVO;2025-12-14T02:25:01
