id;paso_actual;asientos_seleccionados;datos_personas;fecha_creacion;fecha_expiracion;activa
1;3976;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T09:33:15;2025-12-14T03:22:44;true
2;20801;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T14:16:58;2025-12-14T01:26:40;false
3;27704;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T21:26:44;2025-12-14T14:50:54;true
4;28835;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T02:58:03;2025-12-14T00:53:34;true
5;14434;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T18:41:50;2025-12-14T04:25:05;true
6;29791;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T10:52:13;2025-12-14T16:08:57;false
7;29686;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T11:36:08;2025-12-14T13:35:17;false
8;5403;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T11:52:59;2025-12-14T07:52:42;false
9;20036;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T05:15:28;2025-12-14T02:37:13;false
10;29134;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-14T22:51:10;2025-12-14T15:24:34;true
